scenario,mu,propulsion,speed,Re,eff,L,freq
bacteria,10.0,Fin,1.67524652558965e-11,8.37623262794825e-15,0.02,5e-06,178.97435897435898
bacteria,10.0,Flagella,0.21172402742662305,0.00010586201371331153,1.1999420468922424,5e-06,178.97435897435898
bacteria,10.0,Fin,1.819842804983342e-11,9.099214024916713e-15,0.02,5e-06,186.53846153846155
bacteria,10.0,Flagella,0.22067224921614303,0.00011033612460807152,1.1999393829677298,5e-06,186.53846153846155
bacteria,10.0,Fin,1.9704237778068767e-11,9.852118889034384e-15,0.02,5e-06,194.1025641025641
bacteria,10.0,Flagella,0.22962047100566443,0.00011481023550283224,1.1999367097751814,5e-06,194.1025641025641
bacteria,10.0,Fin,2.1269894440602446e-11,1.0634947220301224e-14,0.02,5e-06,201.66666666666666
bacteria,10.0,Flagella,0.2385686927951839,0.00011928434639759196,1.1999340276460717,5e-06,201.66666666666666
bacteria,10.0,Fin,2.289539803743447e-11,1.1447699018717237e-14,0.02,5e-06,209.23076923076923
bacteria,10.0,Flagella,0.24751691458470543,0.00012375845729235274,1.1999313368880227,5e-06,209.23076923076923
bacteria,10.0,Fin,2.4580748568564694e-11,1.229037428428235e-14,0.02,5e-06,216.7948717948718
bacteria,10.0,Flagella,0.2564651363742253,0.0001282325681871127,1.1999286377873235,5e-06,216.7948717948718
bacteria,10.0,Fin,2.6325946033993498e-11,1.3162973016996749e-14,0.02,5e-06,224.35897435897436
bacteria,10.0,Flagella,0.26541335816374684,0.00013270667908187346,1.199925930611104,5e-06,224.35897435897436
bacteria,10.0,Fin,2.8130990433720522e-11,1.4065495216860263e-14,0.02,5e-06,231.9230769230769
bacteria,10.0,Flagella,0.27436157995326665,0.00013718078997663333,1.1999232156092217,5e-06,231.9230769230769
bacteria,10.0,Fin,2.999588176774573e-11,1.4997940883872863e-14,0.02,5e-06,239.48717948717947
bacteria,10.0,Flagella,0.2833098017427883,0.00014165490087139418,1.1999204930159066,5e-06,239.48717948717947
bacteria,10.0,Fin,3.1920620036069554e-11,1.5960310018034777e-14,0.02,5e-06,247.05128205128204
bacteria,10.0,Flagella,0.2922580235323078,0.0001461290117661539,1.1999177630512035,5e-06,247.05128205128204
bacteria,10.0,Fin,3.3905205238691574e-11,1.695260261934579e-14,0.02,5e-06,254.6153846153846
bacteria,10.0,Flagella,0.30120624532182777,0.00015060312266091392,1.199915025922238,5e-06,254.6153846153846
bacteria,10.0,Fin,3.594963737561198e-11,1.797481868780599e-14,0.02,5e-06,262.1794871794872
bacteria,10.0,Flagella,0.3101544671113495,0.00015507723355567474,1.1999122818243404,5e-06,262.1794871794872
bacteria,10.0,Fin,3.8053916446830526e-11,1.9026958223415263e-14,0.02,5e-06,269.7435897435897
bacteria,10.0,Flagella,0.3191026889008697,0.00015955134445043485,1.1999095309420362,5e-06,269.7435897435897
bacteria,10.0,Fin,4.0218042452347613e-11,2.0109021226173807e-14,0.02,5e-06,277.3076923076923
bacteria,10.0,Flagella,0.3280509106903901,0.00016402545534519505,1.1999067734499318,5e-06,277.3076923076923
bacteria,10.0,Fin,4.244201539216296e-11,2.122100769608148e-14,0.02,5e-06,284.87179487179486
bacteria,10.0,Flagella,0.3369991324799105,0.00016849956623995527,1.1999040095135043,5e-06,284.87179487179486
bacteria,10.0,Fin,4.472583526627679e-11,2.2362917633138397e-14,0.02,5e-06,292.4358974358974
bacteria,10.0,Flagella,0.3459473542694323,0.00017297367713471618,1.1999012392898096,5e-06,292.4358974358974
bacteria,10.0,Fin,4.7069502074688944e-11,2.3534751037344475e-14,0.02,5e-06,300.0
bacteria,10.0,Flagella,0.35489557605895244,0.0001774477880294762,1.1998984629281164,5e-06,300.0
