scenario,rho,mu,propulsion,speed,Re
fish,1.2,3.467368504525317e-05,Flagella,0.002194368937390312,7.5943549738993354
fish,1.2,5.248074602497723e-05,Fin,0.08441585739663165,193.0213202909627
fish,1.2,5.248074602497723e-05,Flagella,0.003025821987170935,6.918701923324454
fish,1.2,7.943282347242822e-05,Fin,0.07501191743953482,113.32129086244363
fish,1.2,7.943282347242822e-05,Flagella,0.004044693645665787,6.110361136141257
fish,1.2,0.00012022644346174131,Fin,0.06428798868728575,64.16690388857117
fish,1.2,0.00012022644346174131,Flagella,0.005235182804455114,5.225322470214531
fish,1.2,0.00018197008586099826,Fin,0.052383469009836946,34.54422880243152
fish,1.2,0.00018197008586099826,Flagella,0.006593791457686526,4.3482695036303936
fish,1.2,0.0002754228703338166,Fin,0.03942948592316961,17.17917725948342
fish,1.2,0.0002754228703338166,Flagella,0.008158300322190984,3.5545197734536726
fish,1.2,0.0004168693834703355,Fin,0.024973459133581944,7.188858704570918
fish,1.2,0.0004168693834703355,Flagella,0.00999375794371058,2.8768026648102563
fish,1.2,0.000630957344480193,Fin,0.004974818200353237,0.9461466599365796
fish,1.2,0.000630957344480193,Flagella,0.01215254431171692,2.3112581700866617
fish,1.2,0.0009549925860214359,Fin,0.0004266143148639724,0.05360640337214889
fish,1.2,0.0009549925860214359,Flagella,0.014661494849179528,1.8422963776412522
fish,1.2,0.001445439770745928,Fin,0.0002818771743163667,0.023401363102461388
fish,1.2,0.001445439770745928,Flagella,0.017524501247923718,1.454879125586541
fish,1.2,0.002187761623949552,Fin,0.0001862344826770737,0.010215069903687174
fish,1.2,0.002187761623949552,Flagella,0.020716940869710924,1.13633627957935
fish,1.2,0.003311311214825911,Fin,0.00015688830808899883,0.005685541391092004
fish,1.2,0.003311311214825911,Flagella,0.025187855468000522,0.9127932894459062
fish,1.2,0.005011872336272719,Fin,0.00012511097515952052,0.002995550567097589
fish,1.2,0.005011872336272719,Flagella,0.02878474382931343,0.6891973753039455
fish,1.2,0.007585775750291836,Fin,9.357082722922121e-05,0.001480204482326619
fish,1.2,0.007585775750291836,Flagella,0.032359487861975116,0.5118973551633956
fish,1.2,0.01148153621496883,Fin,6.636877831831107e-05,0.0006936574731013858
fish,1.2,0.01148153621496883,Flagella,0.035734510328939754,0.37348148881699206
fish,1.2,0.017378008287493744,Fin,4.5463774558872114e-05,0.0003139400589992162
fish,1.2,0.017378008287493744,Flagella,0.03874296105462469,0.2675309649783499
fish,1.2,0.026302679918953815,Fin,3.055469031682558e-05,0.00013939883119578738
fish,1.2,0.026302679918953815,Flagella,0.041266986438527546,0.18827124794439093
fish,1.2,0.03981071705534969,Fin,2.0343938976718436e-05,6.132199713489357e-05
fish,1.2,0.03981071705534969,Flagella,0.04326246612151808,0.13040448197314108
fish,1.2,0.060255958607435746,Fin,1.3487303812649036e-05,2.6860023388926057e-05
fish,1.2,0.060255958607435746,Flagella,0.044757409698180484,0.08913457337510314
fish,1.2,0.09120108393559097,Fin,8.924428618538231e-06,1.17425296719161e-05
fish,1.2,0.09120108393559097,Flagella,0.045827946172170855,0.060299212502170664
fish,1.2,0.13803842646028838,Fin,5.900208948536312e-06,5.129188241131145e-06
fish,1.2,0.13803842646028838,Flagella,0.04656798166857178,0.040482624610591635
fish,1.2,0.2089296130854041,Fin,3.8993555624489536e-06,2.2396186954244815e-06
fish,1.2,0.2089296130854041,Flagella,0.06293894302899046,0.03614936653518595
fish,1.2,0.31622776601683794,Fin,2.5766037319532493e-06,9.777523704794683e-07
fish,1.2,0.31622776601683794,Flagella,0.09526194518621395,0.036149366535185884
fish,1.2,0.47863009232263803,Fin,2.5570453927461354e-06,6.410910054579184e-07
fish,1.2,0.47863009232263803,Flagella,0.14418478868450754,0.0361493665351859
fish,1.2,0.7244359600749891,Fin,2.5570453927461354e-06,4.235646268826489e-07
