sweep,scenario,propulsion,rho,mu,L,freq,speed,Re
mu,bacteria,Flagella,1000.0,1.8442627085855328e-06,5e-06,100.0,5.343946151858958e-05,0.14488028541111495
mu,bacteria,Flagella,1000.0,2.2616759492228647e-06,5e-06,100.0,5.451908851705767e-05,0.12052807241415596
mu,bacteria,Flagella,1000.0,2.773562614198412e-06,5e-06,100.0,5.54502391936218e-05,0.09996211895444714
mu,bacteria,Flagella,1000.0,3.401304938279253e-06,5e-06,100.0,5.624450638164191e-05,0.08268077605840371
mu,bacteria,Flagella,1000.0,4.171124612056516e-06,5e-06,100.0,5.6915370772347984e-05,0.06822545004749526
mu,bacteria,Flagella,1000.0,5.1151780992931454e-06,5e-06,100.0,5.7477128183602844e-05,0.056182919800529994
mu,bacteria,Flagella,1000.0,6.272899858196244e-06,5e-06,100.0,5.794401917347258e-05,0.04618599091595752
mu,bacteria,Flagella,1000.0,7.692649574879146e-06,5e-06,100.0,5.8329593383366074e-05,0.0379125506859465
mu,bacteria,Flagella,1000.0,9.433732216299773e-06,5e-06,100.0,5.8646299228914955e-05,0.0310832965597565
mu,bacteria,Flagella,1000.0,1.1568875283162833e-05,5e-06,100.0,5.8905264368913635e-05,0.02545850954700993
mu,bacteria,Flagella,1000.0,1.4187266741165961e-05,5e-06,100.0,5.9116222340005464e-05,0.020834253495944026
mu,bacteria,Flagella,1000.0,1.7398280529303622e-05,5e-06,100.0,5.928754108586176e-05,0.017038333468070245
mu,bacteria,Flagella,1000.0,2.133604526501411e-05,5e-06,100.0,5.942631547251054e-05,0.013926272356094772
mu,bacteria,Flagella,1000.0,2.6165046987488235e-05,5e-06,100.0,5.953849440265557e-05,0.01137748662005577
mu,bacteria,Flagella,1000.0,3.2086999973704505e-05,5e-06,100.0,6.108801292414867e-05,0.00951912191451533
mu,bacteria,Flagella,1000.0,3.934927263095845e-05,5e-06,100.0,6.524785511485831e-05,0.008290859112796393
mu,bacteria,Flagella,1000.0,4.825522042741279e-05,5e-06,100.0,6.94540819003997e-05,0.007196535554622012
mu,bacteria,Flagella,1000.0,5.917685748188831e-05,5e-06,100.0,7.366660275520687e-05,0.006224274648054208
mu,bacteria,Flagella,1000.0,7.257039612324216e-05,5e-06,100.0,7.784202175242783e-05,0.005363207720420402
mu,bacteria,Flagella,1000.0,8.899530352885224e-05,5e-06,100.0,8.193518068688732e-05,0.0046033429539528445
mu,bacteria,Flagella,1000.0,0.00010913767146512738,5e-06,100.0,8.590106956818389e-05,0.003935445406475974
mu,bacteria,Flagella,1000.0,0.00013383887531737563,5e-06,100.0,8.969697148630829e-05,0.0033509311578421262
mu,bacteria,Flagella,1000.0,0.00016413071953751284,5e-06,100.0,9.328464326463504e-05,0.002841778904262782
mu,bacteria,Flagella,1000.0,0.00020127853758499385,5e-06,100.0,9.663229169243337e-05,0.0024004618885813513
mu,bacteria,Flagella,1000.0,0.00024683404670686486,5e-06,100.0,9.971610483328064e-05,0.002019901755119331
mu,bacteria,Flagella,1000.0,0.0003027001653763462,5e-06,100.0,0.00010252114774056409,0.0016934438673513754
mu,bacteria,Flagella,1000.0,0.0003712105009066361,5e-06,100.0,0.00010504152529788868,0.00141485121031514
mu,bacteria,Flagella,1000.0,0.000455226827550731,5e-06,100.0,0.00010727983048974821,0.001178311821679631
mu,bacteria,Flagella,1000.0,0.0005582586268862694,5e-06,100.0,0.00010924600424955244,0.0009784533457089634
mu,bacteria,Flagella,1000.0,0.0006846096838574657,5e-06,100.0,0.00011095580648534664,0.0008103581434910538
mu,bacteria,Flagella,1000.0,0.0008395578619995113,5e-06,100.0,0.0001124291229435137,0.0006695734030513978
mu,bacteria,Flagella,1000.0,0.0010295755673125127,5e-06,100.0,0.0001136883117740517,0.0005521125179320774
mu,bacteria,Flagella,1000.0,0.0012626001098748564,5e-06,100.0,0.00011475674155070337,0.00045444610947355924
mu,bacteria,Flagella,1000.0,0.001548365256585499,5e-06,100.0,0.0001156576087475436,0.00037348296293664976
mu,bacteria,Flagella,1000.0,0.0018988078244652632,5e-06,100.0,0.00011641306365950399,0.0003065425109365344
mu,bacteria,Flagella,1000.0,0.0023285662984981964,5e-06,100.0,0.00011704362927789091,0.0002513212300491035
mu,bacteria,Flagella,1000.0,0.0028555923019901092,5e-06,100.0,0.00011756787085603904,0.00020585549060015337
mu,bacteria,Flagella,1000.0,0.0035019004614317128,5e-06,100.0,0.0001180022623707977,0.00016848317602173336
mu,bacteria,Flagella,1000.0,0.004294487988789272,5e-06,100.0,0.0001183611959070241,0.0001378059459195195
mu,bacteria,Flagella,1000.0,0.005266462393484275,5e-06,100.0,0.0001186570863205283,0.00011265350196683464
mu,bacteria,Flagella,1000.0,0.006458424430196978,5e-06,100.0,0.00011890053273022616,9.20507269344946e-05
mu,bacteria,Flagella,1000.0,0.007920164050192548,5e-06,100.0,0.00011910050805452599,7.518815727789788e-05
mu,bacteria,Flagella,1000.0,0.009712740198471168,5e-06,100.0,0.00011926455633615163,6.139593662503424e-05
mu,bacteria,Flagella,1000.0,0.01191103133283008,5e-06,100.0,0.00011939898468993349,5.012117815559642e-05
mu,bacteria,Flagella,1000.0,0.014606863203649888,5e-06,100.0,0.00011950904190927147,4.0908523699807494e-05
mu,bacteria,Flagella,1000.0,0.01791284454622002,5e-06,100.0,0.0001195990796705182,3.338360899686255e-05
mu,bacteria,Flagella,1000.0,0.021967070907932353,5e-06,100.0,0.00011967269482715537,2.7239110605306355e-05
mu,bacteria,Flagella,1000.0,0.026938893095901698,5e-06,100.0,0.0001197328529030095,2.222304615055339e-05
mu,bacteria,Flagella,1000.0,0.03303599120128339,5e-06,100.0,0.00011978199390094701,1.8129014681462577e-05
mu,bacteria,Flagella,1000.0,0.04051304969235378,5e-06,100.0,0.00011982212209504794,1.478808964086238e-05
mu,bacteria,Flagella,1000.0,0.049682395947343874,5e-06,100.0,0.00011985488159682589,1.2062107645115854e-05
mu,bacteria,Flagella,1000.0,0.060927046613686746,5e-06,100.0,0.00011988161958198518,9.838128240656819e-06
mu,bacteria,Flagella,1000.0,0.07471670675868082,5e-06,100.0,0.00011990343891499222,8.023870705534105e-06
mu,bacteria,Flagella,1000.0,0.09162739011886731,5e-06,100.0,0.00011992124179149855,6.543962544165337e-06
mu,bacteria,Flagella,1000.0,0.11236548001387515,5e-06,100.0,0.00011993576580815457,5.336859941031028e-06
mu,bacteria,Flagella,1000.0,0.13779723598335566,5e-06,100.0,0.00011994761368816498,4.352322919693879e-06
mu,bacteria,Flagella,1000.0,0.16898497868124587,5e-06,100.0,0.00011995727775770959,3.5493473648916283e-06
mu,bacteria,Flagella,1000.0,0.20723146452190294,5e-06,100.0,0.00011996516002588109,2.894472620329371e-06
mu,bacteria,Flagella,1000.0,0.2541343036702639,5e-06,100.0,0.00011997158867016466,2.360397375275758e-06
mu,bacteria,Flagella,1000.0,0.311652694492943,5e-06,100.0,0.00011997683154296723,1.9248482952821697e-06
mu,bacteria,Flagella,1000.0,0.3821892620633123,5e-06,100.0,0.0001199811072081225,1.569655653855691e-06
mu,bacteria,Flagella,1000.0,0.46869041923141924,5e-06,100.0,0.00011998459400031081,1.2799983643474858e-06
mu,bacteria,Flagella,1000.0,0.5747694424835347,5e-06,100.0,0.00011998743740315732,1.0437875479661968e-06
mu,bacteria,Flagella,1000.0,0.7048574036451903,5e-06,100.0,0.000119989750203775,8.511632961734144e-07
mu,bacteria,Flagella,1000.0,0.8643882620598261,5e-06,100.0,0.00011999163486153819,6.940841293679745e-07
mu,bacteria,Flagella,1000.0,1.0600258488068823,5e-06,100.0,0.00011999317177879831,5.659917251728213e-07
mu,bacteria,Flagella,1000.0,1.2999422244132448,5e-06,100.0,0.00011999442509891267,4.6153753161250914e-07
mu,bacteria,Flagella,1000.0,1.5941590374559995,5e-06,100.0,0.00011999544714536015,3.763597116911623e-07
mu,bacteria,Flagella,1000.0,1.9549661430912595,5e-06,100.0,0.00011999628059067291,3.0690117323702263e-07
mu,bacteria,Flagella,1000.0,2.3974349678010785,5e-06,100.0,0.00011999696023368145,2.502611371013379e-07
mu,bacteria,Flagella,1000.0,2.940048064334708,5e-06,100.0,0.0001199975144543508,2.0407406924740974e-07
mu,bacteria,Flagella,1000.0,3.605471154250506,5e-06,100.0,0.00011999796639416971,1.6641093668535328e-07
